p_Name of elected MP,h_Name,p_Birthdate,h_Date of Birth,h_State Name,p_State,p_Twitter,h_Constituency from which I am elected,p_Constituency,h_Party Name,p_Gender,p_Total Assets,h_Social and Cultural Activities,h_Educational Qualifications,h_Countries Visited,h_Permanent Address,p_Positions Held,h_Sports and Clubs,h_Birth Place,h_Profession,p_Income,h_Positions Held,p_Party affiliation,h_Special Interests
Dharmendra Yadav,Shri Dharmendra Yadav,2/3/79,3-Feb-79,Uttar Pradesh,Uttar Pradesh,No,Badaun,Badaun,Samajwadi Party,M,"56,82,299","Organising Saifai Mahotsav to promote cultural activities, since 2003","M.A. (Political Science), L.L.B.   Educated at Allahabad University, Allahabad, Uttar Pradesh","France, Holland, Italy and Switzerland","Village & P.O. Saifai, District EtawahUttar PradeshTel. (05688) 276017",,Badminton,"Saifai, Distt.  Distt. Etawah (Uttar Pradesh)",,"56,82,299 56 L",,Samajwadi Party,Reading
Shivraj Singh Lodhi,Shri Shivraj Singh Lodhi,#N/A,8-Oct-43,Madhya Pradesh,Madhya Pradesh,No,Damoh,Damoh,Bharatiya Janata Party,M,"89,29,326","Active in social service since 1970, inspired each and every child to get education & participated in several cultural activities since student life.","Matriculate Educated at Govt. Higher Secondary School, Distt. Sagar, Madhya Pradesh",,"Pachmarhi Ward, 181, Banda Belai,Distt. Sagar, Madhya PradeshTels. (07583) 252966",,"Kabaddi, hockey & watching cricket matches","Banda Belai, Distt. Sagar (Madhya Pradesh)",,"89,29,326 89 L",,Bharatiya Janata Party,"Agriculture; especially, planting fruit yielding trees and other flora and fauna with special effort for upgraded farming; meeting and discussing with friends and supporters; serving common people; making effects to uplift helpless, poor and diseased persons."
Ponnam Prabhakar,Shri Ponnam Prabhakar,5/8/67,8-May-67,Andhra Pradesh,Andhra Pradesh,https://twitter.com/mpkarimnagar,Karimnagar,Karimnagar,Indian National Congress,M,"12,87,000",Encouraging all the cultural artists and supporting the poor students in pursuing their education.,"M.A.,LL.B.   Educated at Osmania University, Hyderabad, Andhra Pradesh","Oman,USA, & U.A.E.,","7-2-990. Ponnam Complex, Mankammathota,Karimnagar, Andhra PradeshTels.(0878)2269899 09849004868 Fax. (0878) 2259999, 2254234",,Promoting all major sports,"Karimnagar, Andhra Pradesh",,"12,87,000 12 L",,Indian National Congress,Developing farming community and welfare of farmers;upliftment of weaker sections and downtrodden people
Guddu Premchand,Shri Prem Chand Guddu,9/2/60,2-Sep-60,Madhya Pradesh,Madhya Pradesh,No,Ujjain,Ujjain,Indian National Congress,M,"10,50,31,313","<I>Convener,</I> Dr. Ambedkar Birth Centenary Celebration Committee held at Mahow; constructed sports stadium at Indore with public partcipation; welfare of the poor people of the constituency",Higher Secondary,Widely travelled,"90 Anup Nagar, Indore,Madhya Pradesh,Tels. (0731) 2552003, 9425063608 (M) Fax.(0731) 4062927",,"Badminton, chess and wrestling",Indore (Madhya Pradesh),,"10,50,31,313 1",,Indian National Congress,"Special emphasis were given to Economic Reforms, liberalisation of Industry and its achievements"
Mahendrasinh Chauhan,Dr. Mahendrasinh Pruthvisinh Chauhan,11/1/53,1-Nov-53,Gujarat,Gujarat,https://twitter.com/MpChauhan53,Sabarkantha,Sabarkantha,Bharatiya Janata Party,M,"88,42,370","Reading, social activities and games.","B.S.A.M., LL.B.  Educated at Akhadanand Ayurvedic College,  Ahmedabad Ayurvedic University, Jamnagar and Law College, Modasa, Gujarat University, Ahmedabad, Gujarat",,"`Manav Mandir` Hospital, At & PO Gambhoi, Taluk. Himmatnagar, Distt. Sabarkantha, GujaratTels. (02772) 250144, 250444 09428513444 (M)",,,"Vill. Bamanva, Distt. Mehsana (Gujarat)",,"88,42,370 88 L",,Bharatiya Janata Party,Reading and social service (activities)
Anandrao Vithoba Adsul,Shri Anandrao Adsul,6/1/47,1-Jun-47,Maharashtra,Maharashtra,No,Amravati,Amravati,Shiv Sena,M,"1,77,08,418","Arranged medical camps, sports tournaments (indoor-outdoor) and training centre for banking industry employees; fighting for justice to the poor, uneducated and downtrodden; organising people for their social and economic progress;  redressing the grievances of the suppressed people","B.Com.   Educated at Shivaji University, Kolhapur(Maharashtra)","Australia, France, Germany, Hong Kong, Israel, Malaysia,  Nepal, New Zealand, Singapore, Thailand, U.K. and U.S.A.","5/B, Kadamgiri Apartment,   Co-operative Housing Society Ltd., Ashok Nagar, Chakravarti Ashok Road,  Kandivali (East),  Mumbai - 400 101, MaharashatraTels. (022) 28871042, 28863403(R)    24371860, 24371755(O)",,Swimming,"Shirambe, Distt. Satara (Maharashtra)",,"1,77,08,418 1",,Shivsena,Social work and trade union
Helen Davidson J,Smt. Davidson J. Helen,18/07/1971,18-Jul-71,Tamil Nadu,Tamil Nadu,https://twitter.com/helendavidson,Kanniyakumari,Kanniyakumari,Dravida Munnetra Kazhagam,F,"4,84,55,728",,"M.Sc. (Math), B.Ed   Educated at Manomanian Sundaranar University and Annamalai University, Tamil Nadu",,"187-B, Philomin Lawrence, Punnainager, Nagercoil- 629004Distt. Kanniyakumari  Tamil Nadu Tels. (04652) 261177, 09488882887, 09362638597 (M)",,"Member, National Service Scheme and involved in Adult Literacy Scheme.","Kurusady, Distt. Kanniyakumari (Tamil Nadu)",,"4,84,55,728 4",,Dravida Munnetra Kazhagam,Service to poor and downtrodden; education for the orphan children; social and psychological rehabilitation and medical help for Tsunami victims; Involvement in organising blood donation camps;eye donation programmes; medical camps for under previleged and  involvement in human rights issues especially women`s rights.
Bhausaheb Rajaram Wakchaure,Shri Bhausaheb Wakchaure,1/4/50,4-Jan-50,Maharashtra,Maharashtra,No,Shirdi,Shirdi,Shiv Sena,M,"1,78,60,515","Various development projects carried out at Shirdi Sansthan during his tenure viz., educational complex, Bhakta Niwas and prasadalay, Super Speciality Hospital,Zilla Parishad school building, project regarding water and electricity project, renovation and construction of various buildings, yoga programmes, medical facility for the poor including plastic surgery and artifical limb,eye camp etc.;run MSCIT and I.T.I classes, English Medium Schools and Kanya Vidya Mandir,  blessed 100 marriages, and plan to raise to a solar system project with approximate cost of Rs. 16 crores; Active participation in various youth movements and students agitations, established various state government Employees organisations and Tribe Organisation , attempted to resolve difficulties and problem of employees by adorning various posts, various policy decision at state level like postal D.Ed.Scheme, Scholarships, permanent employment of 60 thousand interim employees and participation in various movements for scheduled caste/tribes","B.Com., B.A., LL.B., D.L.L. & L.W., G.D.C. & A., D.Ed. Educated at Pune University, Ahmednagar, Maharashtra",,"Sai Arpan Bunglow , Near Sai Shraddha Housing Society, Behind Saibaba Bhakta Niwas, At+Post- Shirdi,Tal. Rahata, Distt. Ahmednagar,  Maharashtra -  423109Tels. (02423) 257644  09423786904 (M)",,,"Akole, Distt. - Ahmedanagar (Maharashtra)",,"1,78,60,515 1",,Shivsena,"Yoga, swimming, writing poems, reading spiritual, thoughtful literature"
Divya Spandana a.k.a Ramya,,29/11/1982,,,Karnataka,https://twitter.com/divyaspandana,,Mandya,,F,"5,41,68,804",,,,,,,,,"5,41,68,804 5",,Indian National Congress,
S. Alagiri,Shri Sambandam Keerapalayam Alagiri,22/10/1952,22-Oct-52,Tamil Nadu,Tamil Nadu,No,Cuddalore,Cuddalore,Indian National Congress,M,"1,18,66,846","Established  women welfare groups `Annai Indira Gandhi Women tailoring Society, 1986.","B.A. Educated at Annamalai University, Tamil Nadu","China, gulf countries and Sri Lanka","6, A, Old Tower Block, NandanamChennai - 600 035 Tamil Nadu Tels. (044) 24320814 09443230606 (M)",,,"Vill. Keerapalayam, Distt. Cuddalore (Tamil Nadu)",,"1,18,66,846 1",,Indian National Congress,Reading and agriculture
Makhansingh Solanki (Babuji),Shri Makhansingh Solanki,3/1/52,1-Mar-52,Madhya Pradesh,Madhya Pradesh,No,Khargone,Khargone,Bharatiya Janata Party,M,"54,38,265",,Under Matriculate,,"Zila Panchayat Parisar, Distt. Badwani,Madhya PradeshTels. 09425449875, 09165419699 (M)",,,"Village - Than, Distt. - Badwani (Madhya Pradesh)",,"54,38,265 54 L",,Bharatiya Janata Party,
Jai Narain Prasad Nishad,Capt.(Retd.) Jainarain Prasad Nishad,18/11/1930,18-Nov-30,Bihar,Bihar,No,Muzaffarpur,Muzaffarpur,Janata Dal (United),M,"1,51,48,831","Social work; formed Yuvak Morcha in Hajipur in 1969; working for the upliftment of the backward classes and for bringing political and educational awareness among the downtrodden, deprived and minority communities ","Intermediate              Educated at Madhya Pradesh Education Board, Bhopal, Madhya Pradesh ","Indonesia, Kenya, Singapore, Sri Lanka and Yemen ","Ward No. 1, Hathsar Ganj,Hajipur, Vaishali  Bihar",,"Office-bearer, District Sports Association, Muzaffarpur ","Vill. Hathsarganj, Distt. Vaishali (Bihar)",Agriculturist                                               Defence Services                                            Social Worker                                               Industrialist,"1,51,48,831 1",,Janata Dal (United),Pisciculture
Gurudas Vasant Kamat,Shri Gurudas Kamat,#N/A,5-Oct-54,Maharashtra,Maharashtra,No,Mumbai-North-West,Mumbai North West,Indian National Congress,M,"6,39,26,963","Actively engaged in combating corruption, social evils and communal elements","B.Com., LL.B., M.B.A.   Educated at R.A. Podar College of Commerce and Economics and Government Law College, Mumbai,Maharashtra","Widely travelled; most of Europe, China, South East Asia, U.S.A.; represented India at the International Youth Convention, Moscow, 1985 and at the United Nations, New York, 1994; nominated by Hon. Prime Minister to the ""International Conference on Federalism"",  Addis Ababa, Ethiopia, 13 - 16 Dec. 2010","``Gaurinandan``, 5th Road, Near Acharya Garden,Chembur, Mumbai - 400 071, MaharashtraTel. (022) 25212727",,"Badminton, table-tennis and cricket; Member (i) Maharashtra State Sports Council;  (ii) Khar Gymkhana; (iii) Chembur Gymkhana;  (iv) CCI;  (v) India Habitat Centre,  New Delhi;  (vi) United Servies Club, Mumbai; and (vii) Delhi Golf Club","Vill. Ankola, Distt. North Kanara (Karnataka)",,"6,39,26,963",,Indian National Congress,Social work
Mahabali Singh,Shri Mahabali Singh,20/04/1955,20-Apr-55,Bihar,Bihar,No,Karakat,Karakat,Janata Dal (United),M,"61,94,257",,"Under Matriculate   High School, Bhagwanpur, Distt. Kaimur, Bihar","Malaysia, Singapore and  Thailand","Village - Khiri, P.O. - BhagwanpurDistt. - Kaimur, BiharTel. (0612) 2583900, 09431023711",,"Football, Cricket","Vill. Khiri, Distt.Kaimur ( Bihar)",,"61,94,257 61 L",,Janata Dal (United),"Organisational work: Published Budha, Ambedkar and Jagdev Vichar Manch"
Meena Singh,Smt. Meena Singh,1/1/62,1-Jan-62,Bihar,Bihar,No,Arrah,Arrah,Janata Dal (United),F,"4,24,36,500",Getting poor girls married and arranging medical assistance to the poor people suffering from ill-health,"B.A.   Educated at Banaras Hindu University (B.H.U.), Varanasi, Uttar Pradesh",,"804, Santosha Complex, Bander Bagicha,   Dakbanglow Road, PatnaBihar.Tel. (0612) 2206842",,,Varanasi (Uttar Pradesh),,"4,24,36,500 4",,Janata Dal (United),Cooking food
Sultan Ahmed,Shri Sultan Ahmed,6/6/53,6-Jun-53,West Bengal,West Bengal,No,Uluberia,Uluberia,All India Trinamool Congress,M,"60,26,230","<I>Vice President,</I> Anjuman Mufidul Islam, Kolkatta; <I>Honorary General Secretary,</I> Islamia Hospital;  and  <I>Member,</I> All India Muslim Personal Law Board","Graduate   Educated at Calcutta University, West Bengal","Bangladesh, France, Germany, Kuwait, Laos, Nepal, Qatar, Saudi Arabia, U.A.E. and U.K.","19 B, Muzaffar Ahmed Street, P.S. Park Street, Kolkata-700016Tel. (033) 22809407",,"President, Mohammedan Sporting Club, Kolkatta;  Working President, All Bengal Rickshaw Union;   Vice President, West Bengal Athletic Association; and  Member, Working Committee, Cricket Association of Bengal",,,"60,26,230 60 L",,All India Trinamool Congress,
Jagada Nand Singh,Shri Jagadanand Singh,15/07/1945,15-Jul-45,Bihar,Bihar,No,Buxar,Buxar,Rashtriya Janata Dal,M,"66,14,488","Set up many instutions,(schoools  and degree colleges) for girls; and insturmental in setting up of institutions for the economical development, Distt. Camoor; and worked hard to achieve 6th rank in literacy rate of Distt. Camoor, Bihar","B.Sc., LL.B.  Educated at Banaras Hindu University, Varanasi and Harishchandra  College, Varanasi",Moscow,"Village and Post - Sahuka,Distt. - Camoor, BiharTels. (06187) 244211, 09431021995 (M)  Fax: (06183) 225666 (Buxar)",,"Football, hockey and volleyball","Sahuka, Camoor (Bihar)",,"66,14,488 66 L",,Rashtriya Janata Dal,Social work
Mangani Lal Mandal,Shri Mangani Lal Mandal,7/1/48,1-Jul-48,Bihar,Bihar,No,Jhanjharpur,Jhanjharpur,Janata Dal (United),M,"53,98,793",Actively participated in various movemnts,"M.Com. Educated at R.K. College, Madhubani (Bihar) and C.M. College, Darbhanga, Bihar University, Muzaffarpur (now Babasaheb Bhimrao Ambedkar Bihar University)",Havana (Cuba) and China,"(i) Chautharati Sadan,  Road No. 6, East Patal Nagar,Patna-800023, BiharTels. (0612) 2285321, 2286024",,,"Gorgama, P.O. Phulparas, Distt. Madhubani (Bihar)",,"53,98,793 53 L",,Janata Dal (United),"Involved in movement to establish L.N. Mithila University, Darbhanga; to got the Mandal Commission recommendations implemented; Founder Chairman, Jannayak Karporri Thakur Rachna Chakra, 1991  for propogating the ideals of renowned socialist leader Jannayak Karpoori Thakur and to create awareness for bringing about social, economic and cultural revolution"
Sri Prakash Jaiswal,Shri Sriprakash Jaiswal,25/09/1944,25-Sep-44,Uttar Pradesh,Uttar Pradesh,No,Kanpur,Kanpur,Indian National Congress,M,"3,07,67,980","Actively involved in promotion of National integration through  various social and cultural activities which brings together a wide cross-section of people from different castes, communities and religions; working for the promotion of the fine arts","Intermediate                Educated at D.A.V. College, Kanpur,Uttar Pradesh","Australia,Italy, South Africa, U.K. and U.S.A","480, Pokharpur,Kanpur,  Uttar PradeshTel. (0512) 2450851   Fax: (0512) 2450776",,Cricket,Kanpur (Uttar Pradesh),,"3,07,67,980 3",,Indian National Congress,Have keen interest in the educational and financial upliftment of the minority and suppressed community in the country
Karia Munda,Shri Kariya Munda,20/04/1936,20-Apr-36,Jharkhand,Jharkhand,No,Khunti,Khunti,Bharatiya Janata Party,M,"59,89,638","Struggle against exploitation, social evils, promotion of education, folk songs and dance","M.A.  Educated at Ranchi University, Ranchi, Jharkhand ","China, France, London, Nepal, North Korea, Singapore, Thailand, U.A.E. and U.S.A.","Vill. & P.O. Anigara, Chandidih, P.S. Khunti,Distt. Khunti, JharkhandTel. 09431108665 (M)",,Hockey and football,"Vill.Anigara, Chandidih,  Distt. Khunti (Jharkhand",,"59,89,638 59 L",,Bharatiya Janata Party,
Harin Pathak,Shri Harin Pathak,20/07/1947,20-Jul-47,Gujarat,Gujarat,https://twitter.com/harinpathakmp,Ahmedabad East,Ahmedabad East,Bharatiya Janata Party,M,"1,34,74,484","Welfare of the poor and the downtrodden, relief work; served in a hospital as a social worker for three hours everyday for about 10 years; Managing Trustee, Madhuram Charitable Trust ","B.A., B.Ed.               Educated at Gujarat University, Ahmedabad, Gujarat ","Canada, Bulgaria, France, Germany, Greece, Indonesia, Mexico, New Zealand, Poland, Romania, Singapore, Thailand, U.K. and  U.S.A.; attended, (i) World Conference on Urban Transport, Jakarta, 1988; Member (i)  Indian Parliamentary Delegation to Commonwealth Parliamentary Conference (C.P.C.), Ottawa, 1994; and (ii) C.P.C., Wellington, New Zealand, 1998; (iii) Nigeria, 2006","""Madhuram"", Prankunj Society, Puspkunj,Maninagar, Ahmedabad - 380 028, GujaratTelefax. (079) 22871199",,Cricket,"Ratanpur, Distt. Godhara, Panchmahal (Gujarat)",,"1,34,74,484",,Bharatiya Janata Party,
Gaddigoudar P. C.,Shri Parvatagouda Chandanagouda Gaddigoudar,6/1/51,1-Jun-51,Karnataka,Karnataka,No,Bagalkot,Bagalkot,Bharatiya Janata Party,M,"1,67,62,000",Social work & developing agriculture,"B.A., LL.B Educated at Basaveshvar Vidya Vardhak College, Bagalkot and Raja Lokhamagouda Law College, Belgaum, Karnataka",,"Laxminagar, Badami, Distt.Bagalkot,KarnatakaTel. (08357) 220164 9448137164(M)",,Chess,"Hebballi, Distt. Bagalkot (Karnataka)",,"1,67,62,000 1",,Bharatiya Janata Party,Reading
Ramesh Jigajinagi,Shri Ramesh Chandappa Jigajinagi,28/06/1952,28-Jun-52,Karnataka,Karnataka,No,Bijapur,Bijapur,Bharatiya Janata Party,M,"1,17,53,725",,"B.A.   Educated at S.B.New Arts College, Bijapur, Karnataka ",,"Vinoda Farm, Near Bhutanal Tank,Bijapur - 586 101, KarnatakaTels. (08352) 262233, 09449031477 (M)",,,"Atharga, Bijapur, Karnataka",Agriculturist                                               Musician                                                    Trader                                                      Industrialist,"1,17,53,725 1",,Bharatiya Janata Party,Upliftment of the poor 
Bhoopendra Singh,Shri Bhoopendra Singh,20/05/1960,20-May-60,Madhya Pradesh,Madhya Pradesh,No,Sagar,Sagar,Bharatiya Janata Party,M,"2,48,73,075",,"LL.B.   Educated at Sagar University, Madhya Pradesh",Widely travelled,"Bamora, P.O. - Gambhirya, Teh. Sagar, Distt. - Sagar - 470111, Madhya PradeshTels. (07582) 262688, 9425171211 (M)",,,"Bamora, Distt. Sagar (Madhya Pradesh)",,"2,48,73,075 2",,Bharatiya Janata Party,Reading and social work
Jitender Singh Malik,Shri Jitender Singh Malik,2/12/70,12-Feb-70,Haryana,Haryana,No,Sonipat,Sonipat,Indian National Congress,M,"17,79,080",Working for the water supply in the rural and urban areas; create awareness among people about the importance of education and encourage primarily children and women to be educated;to arrange blood donation and health check up camps; to help NGO`s and social workers in fighting against social evils; and to work for the development of the villages.,"B.A., LL.B.  Educated at Maharshi Dayanand University, Rohtak, Haryana",,"14/16, Rajender Nagar,Sonipat, HaryanaTel.(0130) 2241057",,"Rifle Shooting; Private pilot licence holder; and Member, All India National Rifle Association,",Sonepat (Haryana),,"17,79,080 17 L",,Indian National Congress,Agricultural activites; acquiring information about latest technological development in the field of agriculture and  making the farmer aware of them;and working for the upliftment of the downtrodden people of society.
